"Имя образа","PID","Имя сессии","№ сеанса","Память","Состояние","Пользователь","Время ЦП","Заголовок окна"
"System Idle Process","0","Services","0","8 КБ","Unknown","NT AUTHORITY\СИСТЕМА","59:37:02","Н/Д"
"System","4","Services","0","152 КБ","Unknown","Н/Д","0:12:36","Н/Д"
"Secure System","64","Services","0","38 840 КБ","Unknown","Н/Д","0:00:00","Н/Д"
"Registry","132","Services","0","61 856 КБ","Unknown","Н/Д","0:00:01","Н/Д"
"smss.exe","428","Services","0","1 060 КБ","Unknown","Н/Д","0:00:00","Н/Д"
"csrss.exe","708","Services","0","4 684 КБ","Unknown","Н/Д","0:00:03","Н/Д"
"csrss.exe","936","Console","1","5 516 КБ","Running","Н/Д","0:04:32","Н/Д"
"wininit.exe","960","Services","0","5 820 КБ","Unknown","Н/Д","0:00:00","Н/Д"
"services.exe","1020","Services","0","12 416 КБ","Unknown","Н/Д","0:00:25","Н/Д"
"LsaIso.exe","492","Services","0","3 044 КБ","Unknown","Н/Д","0:00:00","Н/Д"
"lsass.exe","528","Services","0","24 792 КБ","Unknown","Н/Д","0:00:13","Н/Д"
"winlogon.exe","764","Console","1","10 860 КБ","Unknown","Н/Д","0:00:00","Н/Д"
"svchost.exe","968","Services","0","30 788 КБ","Unknown","Н/Д","0:00:21","Н/Д"
"fontdrvhost.exe","836","Console","1","13 804 КБ","Unknown","Н/Д","0:00:02","Н/Д"
"fontdrvhost.exe","544","Services","0","3 604 КБ","Unknown","Н/Д","0:00:00","Н/Д"
"svchost.exe","1096","Services","0","20 220 КБ","Unknown","Н/Д","0:03:08","Н/Д"
"svchost.exe","1144","Services","0","10 332 КБ","Unknown","Н/Д","0:00:01","Н/Д"
"svchost.exe","1224","Services","0","9 932 КБ","Unknown","Н/Д","0:00:01","Н/Д"
"svchost.exe","1232","Services","0","5 296 КБ","Unknown","Н/Д","0:00:00","Н/Д"
"dwm.exe","1304","Console","1","120 316 КБ","Running","Н/Д","0:21:18","DWM Notification Window"
"svchost.exe","1324","Services","0","5 092 КБ","Unknown","Н/Д","0:00:00","Н/Д"
"svchost.exe","1376","Services","0","11 124 КБ","Unknown","Н/Д","0:00:00","Н/Д"
"svchost.exe","1416","Services","0","6 504 КБ","Unknown","Н/Д","0:00:00","Н/Д"
"svchost.exe","1432","Services","0","7 104 КБ","Unknown","Н/Д","0:00:00","Н/Д"
"svchost.exe","1496","Services","0","7 796 КБ","Unknown","Н/Д","0:00:00","Н/Д"
"svchost.exe","1680","Services","0","8 044 КБ","Unknown","Н/Д","0:00:00","Н/Д"
"svchost.exe","1688","Services","0","16 940 КБ","Unknown","Н/Д","0:00:18","Н/Д"
"svchost.exe","1800","Services","0","15 428 КБ","Unknown","Н/Д","0:00:03","Н/Д"
"svchost.exe","1824","Services","0","13 264 КБ","Unknown","Н/Д","0:00:00","Н/Д"
"svchost.exe","1832","Services","0","7 860 КБ","Unknown","Н/Д","0:00:00","Н/Д"
"svchost.exe","1932","Services","0","10 372 КБ","Unknown","Н/Д","0:00:04","Н/Д"
"svchost.exe","1976","Services","0","7 860 КБ","Unknown","Н/Д","0:00:07","Н/Д"
"svchost.exe","1992","Services","0","11 044 КБ","Unknown","Н/Д","0:00:04","Н/Д"
"PresentationFontCache.exe","2040","Services","0","15 256 КБ","Unknown","Н/Д","0:00:00","Н/Д"
"NVDisplay.Container.exe","8","Services","0","28 336 КБ","Unknown","Н/Д","0:00:02","Н/Д"
"svchost.exe","1504","Services","0","13 560 КБ","Unknown","Н/Д","0:00:07","Н/Д"
"svchost.exe","2160","Services","0","11 288 КБ","Unknown","Н/Д","0:00:09","Н/Д"
"svchost.exe","2240","Services","0","13 460 КБ","Unknown","Н/Д","0:01:24","Н/Д"
"svchost.exe","2248","Services","0","5 920 КБ","Unknown","Н/Д","0:00:00","Н/Д"
"svchost.exe","2300","Services","0","7 860 КБ","Unknown","Н/Д","0:00:03","Н/Д"
"svchost.exe","2308","Services","0","9 132 КБ","Unknown","Н/Д","0:00:01","Н/Д"
"Memory Compression","2404","Services","0","520 908 КБ","Unknown","Н/Д","0:01:40","Н/Д"
"svchost.exe","2496","Services","0","6 144 КБ","Unknown","Н/Д","0:00:00","Н/Д"
"svchost.exe","2544","Services","0","12 368 КБ","Unknown","Н/Д","0:00:01","Н/Д"
"svchost.exe","2592","Services","0","7 532 КБ","Unknown","Н/Д","0:00:02","Н/Д"
"svchost.exe","2684","Services","0","9 472 КБ","Unknown","Н/Д","0:00:59","Н/Д"
"svchost.exe","2792","Services","0","6 816 КБ","Unknown","Н/Д","0:00:00","Н/Д"
"svchost.exe","2840","Services","0","57 056 КБ","Unknown","Н/Д","0:00:35","Н/Д"
